"modelLoop","generation","gameteSizeGene1","fusionTargetGene1","gameteSizeGene2","fusionTargetGene2"
89,0,1.7880581840226,3.16536367498932,1,3.72101504574479
89,0,4.39140939763242,2.20364669865449,1,5.49967469406817
89,0,1.20803961939861,4.84968016184815,3.43472412208094,2.42658237010498
89,0,2.47295326975822,1.92373965845525,3.59804422594858,4.35419383859482
89,0,1,1,1,1
89,0,2.75243149702505,4.19826865960483,3.60797924374615,3.98433924471172
89,0,3.18859175918134,2.42728317633031,2.53112096475168,4.33574358218519
89,0,1,1.83302640363087,1,2.94209564460214
89,0,1,1,3.12993483308545,1
89,0,3.99247554790987,1,6.57511209102748,1
89,0,2.63566656349946,4.4652789312677,8.17484802053405,3.55191279198086
89,0,2.43969100632584,5.82162708601197,1.14055884063631,3.40383666370643
89,0,1.93298036247097,1.94928410258434,3.78017492086456,1.13931193778501
89,0,3.28910342552926,2.55625094852725,1,2.11629942831979
89,0,1,2.89267525007549,1,2.43545913691787
89,0,1,2.28044571977557,1,1
89,0,3.74084101413605,1,4.50907362326405,4.24948951801991
89,0,2.8130528550345,3.52137770693116,5.36421686184111,1.87769047551264
89,0,2.29112921620493,3.1255120593476,3.08035311159285,4.8225274171004
89,0,4.05681455857629,1,1.36031233543485,6.02179726233084
89,0,1.65114744941072,1,3.14124880821452,1
89,0,2.70905427951692,3.40481740882362,1.89412916550367,3.14421189477529
89,0,1,4.58337274167011,6.05163707552419,2.56500617704266
89,0,2.08719937046003,3.40462997086786,3.42559269621546,5.09892021967109
89,0,5.04631290065647,2.34175413385799,1.27806730556504,6.46730400682543
89,0,1,1.14859899541576,5.53099052622072,2.17144795934543
89,0,3.70850623027272,2.92740060280993,5.24487520562491,2.40771847833004
89,0,1.9933053623559,1,4.08971632141405,1.62908387423531
89,0,1.4022885368956,4.54910804235452,3.55686729671818,1.64226107599335
89,0,2.5041661595162,1,5.97611123109061,2.73492245901157
89,0,7.37003369365955,5.50875050243248,1,1.18676705419885
89,0,4.58069305023048,2.9140368077061,3.6472193938561,1
89,0,1.37032961063202,1,4.83063720320149,3.9834538103067
89,0,3.89618654667522,2.52776140296419,1.08629353268116,1
89,0,5.54666253590416,6.30067369405171,1,1
89,0,3.3690312315012,4.23704592192254,2.43336561726955,3.27399748779416
89,0,3.14517458854707,1.00907101413985,2.79148438429992,4.11397295967379
89,0,1.93728641901169,3.81168690709732,1,4.07314023984633
89,0,3.21382197075183,5.24401558363263,1.42017212047312,2.92480202755088
89,0,2.59479346788241,1,1,1.98484680120562
89,0,1,3.86629354748008,6.57704828704405,5.02667200264606
89,0,1,1,1.86308006479645,2.12090439893447
89,0,1,2.7882207547566,1,1
89,0,3.11982517483338,2.5359692484617,3.27279881599993,2.30390925381242
89,0,3.66724083641058,3.32592602939648,3.06437708832018,3.38931908887079
89,0,1,4.83670179931458,3.76060801859525,3.04184219896721
89,0,5.55229743484853,3.67930018178795,1.65109553286055,5.34442181702927
89,0,3.92904612178714,2.04870761160422,2.38541872291135,4.49601474629361
89,0,4.81916847447516,1,2.43507692466819,1.79225927560108
89,0,1,5.92918676605231,3.78888428179922,2.01417226837665
89,0,3.9768311221315,1.4528181339163,1,2.70036625297153
89,0,1,4.52119477792225,1.55009715173269,3.81133442789932
89,0,1,2.17018898709809,1.19944421560558,1
89,0,4.96602969585726,2.59887453804402,3.63214172788522,4.48981548650715
89,0,4.65394244504181,3.01328055710597,5.69584013409202,1.48529618697284
89,0,4.51968488254944,2.00592515278604,1.61174657470221,4.97996208721153
89,0,1.5967666115773,1,1.21025993937517,3.34017132833518
89,0,2.43602893629185,2.80139980282615,3.160151530433,4.13156922529741
89,0,1,2.10859392995854,1,1
89,0,3.2856012232586,1,3.5557300391933,4.29957491820609
89,0,1,2.08652474132153,1,2.13214381400709
89,0,2.55690595365931,1.35880372522426,1,1
89,0,3.60340151181176,3.89560438806099,4.19396953380185,5.98294776552742
89,0,3.85401446993005,6.27567332204716,3.25804902520879,1.57404374450189
89,0,3.61326648465003,1,2.50585484449832,1
89,0,1,4.73649317587711,5.14964539264295,5.72226887193729
89,0,1,4.03837689301495,4.57491533438591,3.03478569295086
89,0,1.99205985027027,2.5478263907549,3.87456783367338,2.70499587176214
89,0,4.06705170511359,3.31431899051509,1,2.58029623538975
89,0,5.80952701424324,2.09468079430252,1.0677852269593,4.02272057093321
89,0,3.80576248957457,1.32458394288335,5.25512384330424,1
89,0,3.9254091007948,1,2.04980635078288,2.85996271304083
89,0,1.76429669884744,1.94414505294413,3.85044656668145,1
89,0,1.20524086470131,1,4.23535022738596,1
89,0,2.05699024453777,2.29679444461976,1,2.39791278690086
89,0,6.14806332657241,1.97298268232629,1,2.16914992124089
89,0,2.83184068578116,3.23476933980615,3.57700215122382,1
89,0,1.10369426495094,2.7840788442481,3.60954207257187,3.40525024273955
89,0,2.07453987614774,5.13710094479327,3.83905370206234,8.27408302067418
89,0,3.9239655808308,3.05000617709538,6.5450176980941,2.35012805012966
89,0,4.20291810373279,2.87113249257287,1,5.93597273511504
89,0,8.02521558989022,2.6557168631297,2.81263762890241,1
89,0,1,3.03545451632613,1.83222839653166,3.59334036110477
89,0,3.22028882597587,1,3.77642613623712,1.96366881199498
89,0,1.0925147049452,1.20031586546208,2.49152454142966,4.6436110164843
89,0,1.3717663842498,3.09614673039972,1,4.42136895075243
89,0,3.91457411936422,2.41963526689286,4.7278418594213,3.11041296518371
89,0,3.57752804686515,4.96876984901567,2.67950886982649,3.48738310725545
89,0,5.76107871026332,4.37798047232244,3.45590128432535,3.88781218311065
89,0,3.06732680139986,1,1,5.37277776194799
89,0,1,1,4.08584998325149,3.50773809205164
89,0,2.18646239591821,4.91569362387414,1,1.89341049250367
89,0,2.56130385596294,1.57454955414712,3.49155974463068,6.0484913211754
89,0,1,3.21766599508794,2.45941346674891,4.7748385432985
89,0,1.1176283622942,4.13853705231752,1.18870281404086,1
