"ID","gameteSizeGene1","fusionTargetGene1","investCompetitionGene1","investParentingGene1","mpTradeoffGene1","prefGene1","traitGene1","learningGene1","gameteSizeGene2","fusionTargetGene2","investCompetitionGene2","investParentingGene2","mpTradeoffGene2","prefGene2","traitGene2","learningGene2","parentHist","meat1Hist","meat2Hist","plant1Hist","plant2Hist","reward","mID","hh","state","hhState","environment"
54,1,7.05834530932461,0.966030389883314,0.679383356050505,0.0792494543337083,0.6320629716944,0.705153065551683,1,4.36473715742653,2.43703022438873,0,0.810402759965701,0,0.676661742594512,0.615432802553069,1,795,820,46,793,46,1920.05555555556,221,54,"successful",2,2
55,4.36473715742653,2.43703022438873,0.00792397442215476,0.555869159216369,0,0.769912948675906,0.586394204476121,1,4.36473715742653,2.43703022438873,0.084678813294203,0.743739547818054,0,0.915411790916468,0.749588140176214,1,1032,717,51,629,71,2193,351,55,"parenting",2,2
56,1,7.05834530932461,0.785846875569854,0.578936374709568,0.00756132741222194,0.719522803110105,0.654906434020147,1,1,7.05834530932461,0.924176754234841,0.302254867423094,0.0818988031416145,0.653817874252095,0.702315516578412,1,868,599,45,948,40,2265.33333333333,138,56,"parenting",2,2
57,4.36473715742653,2.43703022438873,0.414639362853939,0.675744509207285,0.0484926939021828,0.683765211237838,0.73621533165654,1,4.36473715742653,2.43703022438873,0.263150028063944,0.775828156068866,0.162046907531352,0.884988537725544,0.669274560997247,1,753,808,52,517,370,1451.27777777778,412,57,"successful",1,2
58,4.36473715742653,2.43703022438873,0.530649434597243,0.659044315675417,0.00127368008113185,0.697070325635384,0.801310650322253,1,1,7.05834530932461,0.956489815661334,0.339275333595593,0.167187874795339,0.701742217835956,0.666872960559515,1,1204,338,63,841,54,2204.91666666667,149,58,"parenting",3,2
59,4.36473715742653,2.43703022438873,0.416651328479123,0.79133139488227,0.0838332391002103,0.770420593064093,0.673456380472451,1,1,7.05834530932461,0.99121410618488,0.878280579225465,0.0944704357335855,0.681400766645149,0.677213763961325,1,55,1539,68,788,50,1201.97222222222,334,59,"successful",3,2
60,1,7.05834530932461,0.60105138943436,0.761802589560184,0.183428581137985,0.742033446852655,0.721418458537759,1,4.36473715742653,2.43703022438873,0.402063094212346,0.682059932380466,0.0528095108643492,0.561672578229725,0.614358093170924,1,1202,805,63,381,49,2318.13888888889,430,60,"parenting",1,2
61,1,7.05834530932461,0.763915700232651,0.886674406506488,0.0700036026905443,0.704667254311977,0.624609606331539,1,1,7.05834530932461,0.712588248721293,0.669253826499163,0.021355428195287,0.646712030441913,0.564084731568654,1,797,678,43,927,55,2138.97222222222,303,61,"successful",3,2
62,1,7.05834530932461,0.667945696837593,0.685224693422522,0,0.708607231332204,0.530323036421416,1,1,7.05834530932461,0.9469468469391,0.716610050091295,0.0569367476048175,0.734878497659079,0.746929585363043,1,927,677,46,801,49,2311.41666666667,324,62,"successful",1,2
63,4.36473715742653,2.43703022438873,0.184828999636457,0.679078093060356,0.00220879582690746,0.636207511913509,0.690290634614437,1,1,7.05834530932461,0.924113967335191,0.62437006278818,0,0.678574032525864,0.690684620115207,1,934,903,53,554,56,1695.33333333333,471,63,"parenting",3,2
